No.,Temple Name,Type,Temple Address,Villages,Districts,Regency,Province,Pos code,Latitude,Longitude
5137,Pura Subak Kendal Bedugul,Pura Subak,"Jl. Galiukir Kaja, Kb. Padangan, Pupuan, Tabanan, Bali, 82163",Kb. Padangan,Pupuan,Tabanan,Bali,82163,-8.3722991,114.9941013
5138,"Pura Subak Kerobokan, Desa Sepang",Pura Subak,"Sepang Kelod, Busungbiu, Buleleng, Bali, 81154",Sepang Kelod,Busungbiu,Buleleng,Bali,81154,-8.3298892,114.9288274
5139,Pura SUBAK MAMBANG CELUK KAJA,Pura Subak,"Mambang, Selemadeg Timur, Tabanan, Bali, 82161",Mambang,Selemadeg Timur,Tabanan,Bali,82161,-8.5192385,115.0690577
5140,Pura Subak Meseti Abuan Apua,Pura Subak,"Apuan, Susut, Bangli, Bali, 80661",Apuan,Susut,Bangli,Bali,80661,-8.4667742,115.3294387
5141,Pura Subak Pangyangan,Pura Subak,"Pangyangan, Pekutatan, Jembrana, Bali",Pangyangan,Pekutatan,Jembrana,Bali,0,-8.4407569,114.8664781
5142,Pura Subak panti,Pura Subak,"Unnamed Road, Bungkulan, Sawan, Buleleng, Bali, 81171",Bungkulan,Sawan,Buleleng,Bali,81171,-8.0772546,115.1407296
5143,Pura Subak pengiangan,Pura Subak,"Pengiangan, Susut, Bangli, Bali, 80661",Pengiangan,Susut,Bangli,Bali,80661,-8.4113824,115.335049
5144,Pura Subak pule,Pura Subak,"Pempatan, Rendang, Karangasem, Bali, 80863",Pempatan,Rendang,Karangasem,Bali,80863,-8.3341367,115.4281438
5145,Pura Subak Punegayu Kaje,Pura Subak,"Nongan, Rendang, Karangasem, Bali, 80863",Nongan,Rendang,Karangasem,Bali,80863,-8.4547869,115.4212069
5146,Pura Subak punegayu kelodan,Pura Subak,"Nongan, Rendang, Karangasem, Bali, 80863",Nongan,Rendang,Karangasem,Bali,80863,-8.4554438,115.4211804
5147,Pura Subak Rajaplawa,Pura Subak,"Banjar Dinas Corot, Dencarik, Banjar, Buleleng, Bali, 81152",Dencarik,Banjar,Buleleng,Bali,81152,-8.1952561,114.9792463
5148,Pura Subak Sawe Rangsasa,Pura Subak,"Sawe Mundukwaru, Dauhwaru, Jembrana, Jembrana, Bali, 82218",Dauhwaru,Jembrana,Jembrana,Bali,82218,-8.3241193,114.6387275
5149,Pura Subak Setra Dagang,Pura Subak,"Pangkungparuk, Seririt, Buleleng, Bali, 81153",Pangkungparuk,Seririt,Buleleng,Bali,81153,-8.223132,114.894927
5150,Pura Subak SUWAT,Pura Subak,"Suwat, Gianyar, Bali, 80515",0,Suwat,Gianyar,Bali,80515,-8.4831875,115.3133126
5151,Pura Subak Tabang,Pura Subak,"Bebetin, Sawan, Buleleng, Bali, 81171",Bebetin,Sawan,Buleleng,Bali,81171,-8.1522804,115.1910522
5152,Pura Subak  TAMPUAGAN,Pura Subak,"Jl. Peninjoan, Peninjoan, Tembuku, Bangli, Bali, 80671",Peninjoan,Tembuku,Bangli,Bali,80671,-8.4327875,115.4063508
5153,Pura Subak Tanah Ayu,Pura Subak,"Jl. Tanah Asri, Sibang Gede, Abiansemal, Badung, Bali, 80352",Sibang Gede,Abiansemal,Badung,Bali,80352,-8.5781967,115.2095412
